행정구역,2022년10월_계_총인구수,2022년10월_계_연령구간인구수,2022년10월_계_0~4세,2022년10월_계_5~9세,2022년10월_계_10~14세,2022년10월_계_15~19세,2022년10월_계_20~24세,2022년10월_계_25~29세,2022년10월_계_30~34세,2022년10월_계_35~39세,2022년10월_계_40~44세,2022년10월_계_45~49세,2022년10월_계_50~54세,2022년10월_계_55~59세,2022년10월_계_60~64세,2022년10월_계_65~69세,2022년10월_계_70~74세,2022년10월_계_75~79세,2022년10월_계_80~84세,2022년10월_계_85~89세,2022년10월_계_90~94세,2022년10월_계_95~99세,2022년10월_계_100세 이상,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0~4세,2022년10월_남_5~9세,2022년10월_남_10~14세,2022년10월_남_15~19세,2022년10월_남_20~24세,2022년10월_남_25~29세,2022년10월_남_30~34세,2022년10월_남_35~39세,2022년10월_남_40~44세,2022년10월_남_45~49세,2022년10월_남_50~54세,2022년10월_남_55~59세,2022년10월_남_60~64세,2022년10월_남_65~69세,2022년10월_남_70~74세,2022년10월_남_75~79세,2022년10월_남_80~84세,2022년10월_남_85~89세,2022년10월_남_90~94세,2022년10월_남_95~99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0~4세,2022년10월_여_5~9세,2022년10월_여_10~14세,2022년10월_여_15~19세,2022년10월_여_20~24세,2022년10월_여_25~29세,2022년10월_여_30~34세,2022년10월_여_35~39세,2022년10월_여_40~44세,2022년10월_여_45~49세,2022년10월_여_50~54세,2022년10월_여_55~59세,2022년10월_여_60~64세,2022년10월_여_65~69세,2022년10월_여_70~74세,2022년10월_여_75~79세,2022년10월_여_80~84세,2022년10월_여_85~89세,2022년10월_여_90~94세,2022년10월_여_95~99세,2022년10월_여_100세 이상,2022년10월_계_총인구수,2022년10월_계_연령구간인구수,2022년10월_계_0~4세,2022년10월_계_5~9세,2022년10월_계_10~14세,2022년10월_계_15~19세,2022년10월_계_20~24세,2022년10월_계_25~29세,2022년10월_계_30~34세,2022년10월_계_35~39세,2022년10월_계_40~44세,2022년10월_계_45~49세,2022년10월_계_50~54세,2022년10월_계_55~59세,2022년10월_계_60~64세,2022년10월_계_65~69세,2022년10월_계_70~74세,2022년10월_계_75~79세,2022년10월_계_80~84세,2022년10월_계_85~89세,2022년10월_계_90~94세,2022년10월_계_95~99세,2022년10월_계_100세 이상,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0~4세,2022년10월_남_5~9세,2022년10월_남_10~14세,2022년10월_남_15~19세,2022년10월_남_20~24세,2022년10월_남_25~29세,2022년10월_남_30~34세,2022년10월_남_35~39세,2022년10월_남_40~44세,2022년10월_남_45~49세,2022년10월_남_50~54세,2022년10월_남_55~59세,2022년10월_남_60~64세,2022년10월_남_65~69세,2022년10월_남_70~74세,2022년10월_남_75~79세,2022년10월_남_80~84세,2022년10월_남_85~89세,2022년10월_남_90~94세,2022년10월_남_95~99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0~4세,2022년10월_여_5~9세,2022년10월_여_10~14세,2022년10월_여_15~19세,2022년10월_여_20~24세,2022년10월_여_25~29세,2022년10월_여_30~34세,2022년10월_여_35~39세,2022년10월_여_40~44세,2022년10월_여_45~49세,2022년10월_여_50~54세,2022년10월_여_55~59세,2022년10월_여_60~64세,2022년10월_여_65~69세,2022년10월_여_70~74세,2022년10월_여_75~79세,2022년10월_여_80~84세,2022년10월_여_85~89세,2022년10월_여_90~94세,2022년10월_여_95~99세,2022년10월_여_100세 이상,2022년11월_계_총인구수,2022년11월_계_연령구간인구수,2022년11월_계_0~4세,2022년11월_계_5~9세,2022년11월_계_10~14세,2022년11월_계_15~19세,2022년11월_계_20~24세,2022년11월_계_25~29세,2022년11월_계_30~34세,2022년11월_계_35~39세,2022년11월_계_40~44세,2022년11월_계_45~49세,2022년11월_계_50~54세,2022년11월_계_55~59세,2022년11월_계_60~64세,2022년11월_계_65~69세,2022년11월_계_70~74세,2022년11월_계_75~79세,2022년11월_계_80~84세,2022년11월_계_85~89세,2022년11월_계_90~94세,2022년11월_계_95~99세,2022년11월_계_100세 이상,2022년11월_남_총인구수,2022년11월_남_연령구간인구수,2022년11월_남_0~4세,2022년11월_남_5~9세,2022년11월_남_10~14세,2022년11월_남_15~19세,2022년11월_남_20~24세,2022년11월_남_25~29세,2022년11월_남_30~34세,2022년11월_남_35~39세,2022년11월_남_40~44세,2022년11월_남_45~49세,2022년11월_남_50~54세,2022년11월_남_55~59세,2022년11월_남_60~64세,2022년11월_남_65~69세,2022년11월_남_70~74세,2022년11월_남_75~79세,2022년11월_남_80~84세,2022년11월_남_85~89세,2022년11월_남_90~94세,2022년11월_남_95~99세,2022년11월_남_100세 이상,2022년11월_여_총인구수,2022년11월_여_연령구간인구수,2022년11월_여_0~4세,2022년11월_여_5~9세,2022년11월_여_10~14세,2022년11월_여_15~19세,2022년11월_여_20~24세,2022년11월_여_25~29세,2022년11월_여_30~34세,2022년11월_여_35~39세,2022년11월_여_40~44세,2022년11월_여_45~49세,2022년11월_여_50~54세,2022년11월_여_55~59세,2022년11월_여_60~64세,2022년11월_여_65~69세,2022년11월_여_70~74세,2022년11월_여_75~79세,2022년11월_여_80~84세,2022년11월_여_85~89세,2022년11월_여_90~94세,2022년11월_여_95~99세,2022년11월_여_100세 이상,2022년12월_계_총인구수,2022년12월_계_연령구간인구수,2022년12월_계_0~4세,2022년12월_계_5~9세,2022년12월_계_10~14세,2022년12월_계_15~19세,2022년12월_계_20~24세,2022년12월_계_25~29세,2022년12월_계_30~34세,2022년12월_계_35~39세,2022년12월_계_40~44세,2022년12월_계_45~49세,2022년12월_계_50~54세,2022년12월_계_55~59세,2022년12월_계_60~64세,2022년12월_계_65~69세,2022년12월_계_70~74세,2022년12월_계_75~79세,2022년12월_계_80~84세,2022년12월_계_85~89세,2022년12월_계_90~94세,2022년12월_계_95~99세,2022년12월_계_100세 이상,2022년12월_남_총인구수,2022년12월_남_연령구간인구수,2022년12월_남_0~4세,2022년12월_남_5~9세,2022년12월_남_10~14세,2022년12월_남_15~19세,2022년12월_남_20~24세,2022년12월_남_25~29세,2022년12월_남_30~34세,2022년12월_남_35~39세,2022년12월_남_40~44세,2022년12월_남_45~49세,2022년12월_남_50~54세,2022년12월_남_55~59세,2022년12월_남_60~64세,2022년12월_남_65~69세,2022년12월_남_70~74세,2022년12월_남_75~79세,2022년12월_남_80~84세,2022년12월_남_85~89세,2022년12월_남_90~94세,2022년12월_남_95~99세,2022년12월_남_100세 이상,2022년12월_여_총인구수,2022년12월_여_연령구간인구수,2022년12월_여_0~4세,2022년12월_여_5~9세,2022년12월_여_10~14세,2022년12월_여_15~19세,2022년12월_여_20~24세,2022년12월_여_25~29세,2022년12월_여_30~34세,2022년12월_여_35~39세,2022년12월_여_40~44세,2022년12월_여_45~49세,2022년12월_여_50~54세,2022년12월_여_55~59세,2022년12월_여_60~64세,2022년12월_여_65~69세,2022년12월_여_70~74세,2022년12월_여_75~79세,2022년12월_여_80~84세,2022년12월_여_85~89세,2022년12월_여_90~94세,2022년12월_여_95~99세,2022년12월_여_100세 이상
경상북도 경상북도 영천시 (4723000000),"101,181","101,181","2,567","2,758","3,074","3,408","4,359","4,555","4,399","4,581","5,509","6,465","8,581","9,331","10,853","9,200","7,560","5,268","5,007","2,713",851,124,18,"51,468","51,468","1,306","1,422","1,610","1,823","2,610","2,657","2,428","2,464","3,026","3,548","4,632","5,018","5,580","4,655","3,671","2,238","1,778",779,195,26,2,"49,713","49,713","1,261","1,336","1,464","1,585","1,749","1,898","1,971","2,117","2,483","2,917","3,949","4,313","5,273","4,545","3,889","3,030","3,229","1,934",656,98,16,"101,181","101,181","2,567","2,758","3,074","3,408","4,359","4,555","4,399","4,581","5,509","6,465","8,581","9,331","10,853","9,200","7,560","5,268","5,007","2,713",851,124,18,"51,468","51,468","1,306","1,422","1,610","1,823","2,610","2,657","2,428","2,464","3,026","3,548","4,632","5,018","5,580","4,655","3,671","2,238","1,778",779,195,26,2,"49,713","49,713","1,261","1,336","1,464","1,585","1,749","1,898","1,971","2,117","2,483","2,917","3,949","4,313","5,273","4,545","3,889","3,030","3,229","1,934",656,98,16,"101,051","101,051","2,564","2,740","3,084","3,409","4,320","4,518","4,428","4,537","5,500","6,434","8,531","9,310","10,882","9,219","7,567","5,253","5,042","2,703",868,126,16,"51,388","51,388","1,302","1,410","1,617","1,825","2,580","2,641","2,440","2,439","3,025","3,523","4,620","4,996","5,589","4,677","3,683","2,229","1,791",773,201,26,1,"49,663","49,663","1,262","1,330","1,467","1,584","1,740","1,877","1,988","2,098","2,475","2,911","3,911","4,314","5,293","4,542","3,884","3,024","3,251","1,930",667,100,15,"101,088","101,088","2,568","2,738","3,080","3,395","4,283","4,501","4,429","4,539","5,506","6,424","8,530","9,332","10,896","9,261","7,566","5,258","5,056","2,701",885,123,17,"51,406","51,406","1,304","1,407","1,614","1,814","2,559","2,629","2,451","2,425","3,039","3,524","4,609","4,992","5,595","4,714","3,693","2,227","1,806",775,202,26,1,"49,682","49,682","1,264","1,331","1,466","1,581","1,724","1,872","1,978","2,114","2,467","2,900","3,921","4,340","5,301","4,547","3,873","3,031","3,250","1,926",683,97,16
경상북도 영천시 금호읍(4723025000),"10,557","10,557",192,166,177,253,373,412,356,333,454,593,980,"1,182","1,324","1,127",903,663,664,297,95,12,1,"5,551","5,551",102,80,107,147,218,239,205,183,272,344,569,677,731,579,435,290,259,86,25,3,0,"5,006","5,006",90,86,70,106,155,173,151,150,182,249,411,505,593,548,468,373,405,211,70,9,1,"10,557","10,557",192,166,177,253,373,412,356,333,454,593,980,"1,182","1,324","1,127",903,663,664,297,95,12,1,"5,551","5,551",102,80,107,147,218,239,205,183,272,344,569,677,731,579,435,290,259,86,25,3,0,"5,006","5,006",90,86,70,106,155,173,151,150,182,249,411,505,593,548,468,373,405,211,70,9,1,"10,540","10,540",187,164,176,253,375,403,359,329,448,593,981,"1,180","1,321","1,134",897,663,665,300,99,12,1,"5,538","5,538",97,79,107,147,219,232,205,179,269,344,572,673,732,581,436,290,256,90,27,3,0,"5,002","5,002",90,85,69,106,156,171,154,150,179,249,409,507,589,553,461,373,409,210,72,9,1,"10,539","10,539",190,166,170,248,378,405,359,332,448,593,971,"1,179","1,331","1,126",902,665,665,301,97,12,1,"5,540","5,540",96,79,105,143,219,235,205,176,274,346,565,671,737,579,441,296,252,92,26,3,0,"4,999","4,999",94,87,65,105,159,170,154,156,174,247,406,508,594,547,461,369,413,209,71,9,1
경상북도 영천시 청통면(4723031000),"4,007","4,007",62,46,45,78,121,123,98,150,130,199,295,399,541,520,423,298,252,176,40,10,1,"2,097","2,097",35,25,25,43,69,76,53,91,88,135,174,216,292,274,218,134,85,55,8,1,0,"1,910","1,910",27,21,20,35,52,47,45,59,42,64,121,183,249,246,205,164,167,121,32,9,1,"4,007","4,007",62,46,45,78,121,123,98,150,130,199,295,399,541,520,423,298,252,176,40,10,1,"2,097","2,097",35,25,25,43,69,76,53,91,88,135,174,216,292,274,218,134,85,55,8,1,0,"1,910","1,910",27,21,20,35,52,47,45,59,42,64,121,183,249,246,205,164,167,121,32,9,1,"4,006","4,006",61,46,46,75,119,130,102,149,125,203,295,388,549,521,423,297,255,167,43,11,1,"2,093","2,093",35,25,25,42,68,79,55,90,83,139,173,210,294,275,219,134,86,52,8,1,0,"1,913","1,913",26,21,21,33,51,51,47,59,42,64,122,178,255,246,204,163,169,115,35,10,1,"4,037","4,037",61,45,49,74,120,129,104,143,132,211,300,398,546,524,423,300,255,165,46,11,1,"2,114","2,114",35,25,26,43,71,76,59,89,86,143,174,214,295,275,219,137,85,53,8,1,0,"1,923","1,923",26,20,23,31,49,53,45,54,46,68,126,184,251,249,204,163,170,112,38,10,1
경상북도 영천시 신녕면(4723032000),"3,709","3,709",48,38,57,144,85,75,104,91,143,178,254,331,476,486,384,308,290,151,58,7,1,"1,833","1,833",26,19,31,74,49,47,62,52,83,106,141,196,244,234,190,114,109,46,7,2,1,"1,876","1,876",22,19,26,70,36,28,42,39,60,72,113,135,232,252,194,194,181,105,51,5,0,"3,709","3,709",48,38,57,144,85,75,104,91,143,178,254,331,476,486,384,308,290,151,58,7,1,"1,833","1,833",26,19,31,74,49,47,62,52,83,106,141,196,244,234,190,114,109,46,7,2,1,"1,876","1,876",22,19,26,70,36,28,42,39,60,72,113,135,232,252,194,194,181,105,51,5,0,"3,693","3,693",48,35,50,147,86,72,103,89,136,175,252,331,475,490,382,306,297,149,62,7,1,"1,831","1,831",26,17,29,76,50,44,61,51,81,102,144,197,244,238,188,115,112,46,7,2,1,"1,862","1,862",22,18,21,71,36,28,42,38,55,73,108,134,231,252,194,191,185,103,55,5,0,"3,683","3,683",48,35,48,148,87,72,102,85,136,168,256,326,477,490,382,307,297,149,62,7,1,"1,824","1,824",26,17,28,76,50,43,61,47,82,98,147,194,243,239,188,115,112,47,8,2,1,"1,859","1,859",22,18,20,72,37,29,41,38,54,70,109,132,234,251,194,192,185,102,54,5,0
경상북도 영천시 화산면(4723033000),"3,111","3,111",34,18,45,37,66,73,78,68,85,153,250,320,391,390,343,260,273,175,44,7,1,"1,620","1,620",15,12,28,23,46,53,47,37,52,104,148,186,225,208,177,106,88,51,11,3,0,"1,491","1,491",19,6,17,14,20,20,31,31,33,49,102,134,166,182,166,154,185,124,33,4,1,"3,111","3,111",34,18,45,37,66,73,78,68,85,153,250,320,391,390,343,260,273,175,44,7,1,"1,620","1,620",15,12,28,23,46,53,47,37,52,104,148,186,225,208,177,106,88,51,11,3,0,"1,491","1,491",19,6,17,14,20,20,31,31,33,49,102,134,166,182,166,154,185,124,33,4,1,"3,103","3,103",37,17,43,37,66,71,76,70,84,152,245,318,390,390,343,261,277,172,46,7,1,"1,611","1,611",15,12,26,25,45,50,46,39,50,104,148,182,225,207,179,107,88,48,12,3,0,"1,492","1,492",22,5,17,12,21,21,30,31,34,48,97,136,165,183,164,154,189,124,34,4,1,"3,117","3,117",38,19,44,36,66,69,79,76,84,152,253,308,392,393,341,261,282,170,46,7,1,"1,613","1,613",15,14,26,24,45,47,49,39,52,104,149,175,224,212,178,106,91,48,12,3,0,"1,504","1,504",23,5,18,12,21,22,30,37,32,48,104,133,168,181,163,155,191,122,34,4,1
경상북도 영천시 화북면(4723034000),"2,160","2,160",32,16,53,27,46,36,44,44,54,94,134,244,328,272,245,157,175,105,45,7,2,"1,067","1,067",16,11,33,10,24,17,30,21,31,56,83,124,169,150,128,67,58,29,10,0,0,"1,093","1,093",16,5,20,17,22,19,14,23,23,38,51,120,159,122,117,90,117,76,35,7,2,"2,160","2,160",32,16,53,27,46,36,44,44,54,94,134,244,328,272,245,157,175,105,45,7,2,"1,067","1,067",16,11,33,10,24,17,30,21,31,56,83,124,169,150,128,67,58,29,10,0,0,"1,093","1,093",16,5,20,17,22,19,14,23,23,38,51,120,159,122,117,90,117,76,35,7,2,"2,167","2,167",30,16,51,30,46,38,45,43,52,96,134,248,328,272,248,158,173,104,46,7,2,"1,069","1,069",15,12,31,12,25,18,30,21,29,56,83,127,166,152,130,66,58,28,10,0,0,"1,098","1,098",15,4,20,18,21,20,15,22,23,40,51,121,162,120,118,92,115,76,36,7,2,"2,164","2,164",31,16,48,30,46,38,44,45,46,97,129,252,328,276,249,161,169,103,47,7,2,"1,066","1,066",16,12,29,11,27,17,28,23,24,58,79,127,167,153,131,70,56,27,11,0,0,"1,098","1,098",15,4,19,19,19,21,16,22,22,39,50,125,161,123,118,91,113,76,36,7,2
경상북도 영천시 화남면(4723035000),"3,222","3,222",47,29,31,99,75,81,68,89,88,128,229,341,481,413,382,216,238,132,47,6,2,"1,710","1,710",20,17,18,81,48,57,41,52,60,79,143,194,248,223,204,98,73,39,13,2,0,"1,512","1,512",27,12,13,18,27,24,27,37,28,49,86,147,233,190,178,118,165,93,34,4,2,"3,222","3,222",47,29,31,99,75,81,68,89,88,128,229,341,481,413,382,216,238,132,47,6,2,"1,710","1,710",20,17,18,81,48,57,41,52,60,79,143,194,248,223,204,98,73,39,13,2,0,"1,512","1,512",27,12,13,18,27,24,27,37,28,49,86,147,233,190,178,118,165,93,34,4,2,"3,219","3,219",48,30,32,97,76,82,70,86,89,131,220,342,481,415,376,218,237,134,47,6,2,"1,709","1,709",22,17,19,80,49,57,44,49,62,79,138,192,250,226,200,98,72,41,12,2,0,"1,510","1,510",26,13,13,17,27,25,26,37,27,52,82,150,231,189,176,120,165,93,35,4,2,"3,206","3,206",49,28,26,93,75,83,68,88,86,125,223,344,480,422,374,224,231,131,49,5,2,"1,699","1,699",23,16,15,76,48,57,43,51,61,75,137,192,252,227,203,99,70,39,13,2,0,"1,507","1,507",26,12,11,17,27,26,25,37,25,50,86,152,228,195,171,125,161,92,36,3,2
경상북도 영천시 자양면(4723036000),"1,233","1,233",9,10,17,17,32,31,21,24,27,43,89,165,213,127,112,104,99,64,27,2,0,625,625,5,4,9,9,15,23,10,15,14,23,55,80,124,82,52,47,28,21,8,1,0,608,608,4,6,8,8,17,8,11,9,13,20,34,85,89,45,60,57,71,43,19,1,0,"1,233","1,233",9,10,17,17,32,31,21,24,27,43,89,165,213,127,112,104,99,64,27,2,0,625,625,5,4,9,9,15,23,10,15,14,23,55,80,124,82,52,47,28,21,8,1,0,608,608,4,6,8,8,17,8,11,9,13,20,34,85,89,45,60,57,71,43,19,1,0,"1,230","1,230",9,10,17,16,33,31,23,25,26,44,85,165,213,128,109,106,97,63,28,2,0,625,625,5,4,9,9,15,23,11,15,15,24,53,81,122,83,51,48,26,21,9,1,0,605,605,4,6,8,7,18,8,12,10,11,20,32,84,91,45,58,58,71,42,19,1,0,"1,242","1,242",9,9,17,18,32,33,25,25,27,42,84,166,219,132,110,104,98,64,26,2,0,635,635,5,3,10,9,14,24,13,15,15,23,53,80,126,88,51,47,28,21,9,1,0,607,607,4,6,7,9,18,9,12,10,12,19,31,86,93,44,59,57,70,43,17,1,0
경상북도 영천시 임고면(4723037000),"4,125","4,125",60,41,61,67,102,120,89,95,128,189,313,384,518,503,483,366,347,193,53,12,1,"2,109","2,109",35,28,30,42,55,81,46,59,76,120,181,211,280,247,233,160,139,67,15,4,0,"2,016","2,016",25,13,31,25,47,39,43,36,52,69,132,173,238,256,250,206,208,126,38,8,1,"4,125","4,125",60,41,61,67,102,120,89,95,128,189,313,384,518,503,483,366,347,193,53,12,1,"2,109","2,109",35,28,30,42,55,81,46,59,76,120,181,211,280,247,233,160,139,67,15,4,0,"2,016","2,016",25,13,31,25,47,39,43,36,52,69,132,173,238,256,250,206,208,126,38,8,1,"4,125","4,125",61,41,62,66,102,122,91,96,124,185,309,385,519,501,483,370,346,191,58,12,1,"2,107","2,107",35,28,30,41,56,82,49,59,73,116,181,211,279,246,233,164,138,66,16,4,0,"2,018","2,018",26,13,32,25,46,40,42,37,51,69,128,174,240,255,250,206,208,125,42,8,1,"4,116","4,116",59,43,62,65,99,123,89,96,123,190,305,381,520,497,482,370,345,195,59,12,1,"2,102","2,102",35,29,31,42,53,83,49,57,71,119,179,208,280,245,233,161,141,66,16,4,0,"2,014","2,014",24,14,31,23,46,40,40,39,52,71,126,173,240,252,249,209,204,129,43,8,1
경상북도 영천시 고경면(4723038000),"5,638","5,638",97,117,116,111,427,232,190,190,246,249,356,473,666,586,515,392,384,221,63,5,2,"3,045","3,045",50,67,61,52,350,160,115,108,145,158,212,247,360,298,265,175,143,67,10,2,0,"2,593","2,593",47,50,55,59,77,72,75,82,101,91,144,226,306,288,250,217,241,154,53,3,2,"5,638","5,638",97,117,116,111,427,232,190,190,246,249,356,473,666,586,515,392,384,221,63,5,2,"3,045","3,045",50,67,61,52,350,160,115,108,145,158,212,247,360,298,265,175,143,67,10,2,0,"2,593","2,593",47,50,55,59,77,72,75,82,101,91,144,226,306,288,250,217,241,154,53,3,2,"5,649","5,649",100,118,122,109,419,227,194,192,245,256,353,471,670,587,516,392,390,220,61,5,2,"3,050","3,050",52,66,64,51,342,157,115,110,144,163,213,243,364,300,265,174,148,67,10,2,0,"2,599","2,599",48,52,58,58,77,70,79,82,101,93,140,228,306,287,251,218,242,153,51,3,2,"5,629","5,629",101,121,117,107,411,229,196,192,242,257,354,465,664,587,510,394,393,216,66,5,2,"3,039","3,039",50,69,62,49,335,163,115,109,142,166,213,240,362,299,264,173,149,66,11,2,0,"2,590","2,590",51,52,55,58,76,66,81,83,100,91,141,225,302,288,246,221,244,150,55,3,2
